Session 	Total Run Time	Spreadsheet Read Time 	Spreadsheet Rows	 Query1 Time 	Query Text	Candidates Found	 Bean Build Time	Query2 Time Average	Query2 Time Total	Match Time Average	Match Time Total	Result Save Time	
18212	101375	67	4499	10	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	2704	346	70697	21	4358	23539	
18220	83970	91	4499	81	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	2213	349	71256	23	4704	5625	
18221	82443	575	4499	23	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1733	349	71220	16	3455	5437	
18222	82284	52	3646	502	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1445	345	70429	24	4958	4898	
18208	26266	66	4499	10	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1467	80	16368	13	2812	5543	
18209	28873	72	4499	11	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1443	95	19525	15	3145	4677	
18206	24412	64	4499	11	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1695	81	16628	15	3213	2801	
18207	26251	72	4499	11	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1699	88	17973	17	3566	2930	
18204	30370	70	4499	228	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1503	81	16662	18	3705	8202	
18205	28034	102	4499	11	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1492	93	19089	26	5498	1842	
18202	40181	120	4499	19	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1814	81	16553	18	3853	17822	
18203	47191	69	4499	378	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1520	88	18145	17	3533	23546	
18200	49869	98	4499	10	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	2158	84	17234	15	3187	27182	
18201	51302	79	4499	478	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1876	91	18617	16	3362	26890	
